S_No,Grade,Sex,Age,Literacy mean,Number Recognition mean,Addition Mean,Subtraction mean,Multiplication mean,Division mean,school_code
1,Class 3,Male,12.0,2,2,2,0,0,1,0
2,Class 3,Male,8.0,2,3,1,0,0,0,0
3,Class 3,Female,9.0,2,3,1,1,0,0,0
4,Class 3,Female,10.0,2,3,1,1,1,1,0
5,Class 3,Male,10.0,4,4,3,1,2,1,0
6,Class 3,Male,9.0,3,4,1,1,2,0,0
7,Class 3,Female,10.0,2,3,1,1,1,0,0
8,Class 3,Female,12.0,1,2,1,1,0,0,0
9,Class 3,Male,12.0,4,4,1,1,0,0,0
10,Class 3,Male,12.0,4,4,2,1,3,2,0
11,Class 3,Female,10.0,2,4,1,1,1,1,0
12,Class 3,Female,11.0,3,4,1,1,1,1,0
13,Class 2,Male,6.0,0,0,0,0,0,0,1
14,Class 2,Female,7.0,1,1,0,0,0,0,1
15,Class 2,Male,9.0,2,2,0,0,0,0,1
16,Class 2,Female,7.0,1,1,0,0,0,0,1
17,Class 5,Male,12.0,3,4,0,0,0,0,1
18,Class 5,Male,12.0,3,2,2,1,2,2,1
19,Class 5,Male,11.0,3,2,2,1,2,2,1
20,Class 5,Female,13.0,3,4,2,1,2,2,1
21,Class 1,Female,5.0,0,0,0,0,0,0,1
22,Class 1,Male,5.0,0,0,0,0,0,0,1
23,Class 1,Male,6.0,0,0,0,0,0,0,1
24,Class 1,Female,6.0,0,0,0,0,0,0,1
25,Class 3,Male,7.0,1,2,1,1,0,0,1
26,Class 3,Female,3.0,1,3,1,1,1,0,1
27,Class 3,Male,10.0,2,2,0,0,0,0,1
28,Class 3,Male,11.0,1,2,1,1,1,0,1
29,Class 4,Female,11.0,2,3,1,1,0,0,1
30,Class 4,Female,11.0,2,2,1,1,0,0,1
31,Class 4,Male,9.0,1,2,1,1,0,0,1
32,Class 4,Male,11.0,2,2,1,1,0,0,1
33,Class 6,Male,13.0,3,4,2,1,2,2,1
34,Class 6,Female,13.0,3,4,3,3,2,1,1
35,Class 6,Male,12.0,3,4,3,1,1,1,1
36,Class 6,Female,14.0,3,4,1,1,1,1,1
37,Class 4,Male,12.0,1,2,1,1,0,0,2
38,Class 4,Female,9.0,2,2,1,1,0,0,2
39,Class 4,Female,13.0,1,1,1,0,0,0,2
40,Class 4,Male,15.0,3,4,1,1,1,0,2
41,Class 6,Male,11.0,4,4,3,1,2,0,2
42,Class 6,Male,15.0,4,4,1,1,2,0,2
43,Class 6,Female,14.0,4,4,3,1,3,1,2
